"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"104","Matt Breida SF","16.222","14.631","17.817","14.928","20.86","21.05","14.332","16.720","14.928","15.725","BYE","14.631","16.123","17.518","14.829","17.019","17.817"
"105","Kenneth Farrow LAC","19.312","18.116","18.315","16.720","15.725","19.611","19.312","14.830","BYE","17.019","21.73","14.332","23.72","21.05","18.315","18.613","19.611"
"106","Rashad Jennings FA","","","","","","","","","","","","","","","","",""
"107","Elijah McGuire NYJ","21.73","19.611","18.116","17.019","23.72","14.830","18.116","19.710","21.73","19.99","BYE","16.222","18.315","19.312","21.74","20.28","14.830"
"108","Cameron Artis-Payne CAR","28.11","21.73","21.74","14.830","15.824","16.720","16.123","19.99","19.710","18.116","BYE","18.613","21.74","15.526","16.421","19.99","19.710"
"109","Corey Grant JAC","17.518","14.829","15.027","18.613","20.57","17.817","20.86","BYE","18.314","20.28","23.72","14.928","20.86","14.631","17.518","28.11","14.829"
"110","Fitzgerald Toussaint PIT","23.72","15.526","16.123","15.027","17.019","18.315","18.314","15.824","BYE","20.86","14.829","16.421","18.314","15.027","14.830","17.518","23.72"
"111","Shaun Draughn NYG","14.332","15.824","16.720","19.99","20.28","19.312","14.631","BYE","17.817","28.11","18.315","21.05","19.611","14.332","16.720","14.928","21.05"
"112","Mike Tolbert BUF","18.613","16.222","19.312","19.710","18.314","BYE","19.99","19.611","18.613","21.74","20.28","18.315","14.830","20.86","18.116","14.830","18.116"
"113","Brian Hill ATL","16.123","16.421","15.824","21.73","BYE","18.116","14.830","18.613","16.222","14.332","14.631","19.99","15.526","21.74","19.99","21.74","16.222"
"114","Aaron Ripkowski GB","14.631","19.710","18.314","16.123","14.332","15.526","21.74","BYE","15.824","16.123","15.027","20.57","19.99","23.72","16.222","15.526","15.824"
"115","Karlos Williams FA","","","","","","","","","","","","","","","","",""
"116","Rod Smith DAL","15.725","19.312","14.928","17.817","16.421","BYE","28.11","21.05","18.315","19.710","16.720","20.28","21.05","15.725","19.611","14.631","16.720"
"117","Kenjon Barner LAC","19.312","18.116","18.315","16.720","15.725","19.611","19.312","14.830","BYE","17.019","21.73","14.332","23.72","21.05","18.315","18.613","19.611"
"118","Ka'Deem Carey CHI","19.710","19.99","20.57","16.421","15.526","15.027","16.222","21.74","BYE","16.421","15.824","16.720","28.11","18.314","15.824","23.72","15.526"
"119","Josh Ferguson IND","17.817","14.928","23.72","14.631","28.11","14.829","17.019","18.314","17.518","20.57","BYE","14.829","17.019","21.73","19.312","15.027","17.518"
"120","Khiry Robinson FA","","","","","","","","","","","","","","","","",""
"121","Fozzy Whittaker CAR","28.11","21.73","21.74","14.830","15.824","16.720","16.123","19.99","19.710","18.116","BYE","18.613","21.74","15.526","16.421","19.99","19.710"
"122","T.J. Logan ARI","15.824","20.86","14.332","28.11","16.720","19.99","17.817","BYE","28.11","14.631","17.518","17.019","17.817","14.829","21.05","15.725","14.631"
"123","Ronnie Hillman DAL","15.725","19.312","14.928","17.817","16.421","BYE","28.11","21.05","18.315","19.710","16.720","20.28","21.05","15.725","19.611","14.631","16.720"
"124","Brandon Bolden NE","18.315","21.74","17.518","16.222","19.99","18.613","19.710","20.28","BYE","19.312","19.611","18.116","21.73","18.116","20.57","21.73","18.613"
"125","Reggie Bush FA","","","","","","","","","","","","","","","","",""
"126","Matt Dayes FA","","","","","","","","","","","","","","","","",""
