"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"147","Danny Amendola NE","23.612","23.515","19.528","24.39","23.416","22.920","23.317","20.824","BYE","13.532","23.514","24.68","21.623","24.68","18.630","21.623","22.920"
"148","Jared Abbrederis DET","25.74","20.625","23.317","19.429","24.39","23.515","BYE","18.630","27.71","24.011","25.26","19.429","24.110","23.416","25.26","18.431","27.71"
"149","Darrius Heyward-Bey PIT","24.011","19.429","25.26","24.110","19.827","23.612","18.431","23.219","BYE","22.322","26.23","27.71","18.431","24.110","20.226","19.528","24.011"
"150","Kenny Bell BAL","18.431","24.011","19.827","18.630","23.514","25.26","19.429","24.68","26.23","BYE","27.71","19.528","23.219","18.630","24.011","22.322","18.431"
"151","Ishmael Zamora OAK","26.23","22.920","23.218","13.532","24.110","20.824","23.612","21.623","24.68","BYE","20.226","13.532","20.625","23.612","22.721","26.92","20.824"
"152","Amara Darboh SEA","27.71","25.65","26.23","22.322","25.17","BYE","20.625","19.528","23.218","25.74","23.317","25.65","26.92","19.827","25.17","22.721","25.74"
"153","Jeff Janis GB","23.613","23.317","18.431","25.26","22.721","19.429","23.515","BYE","23.219","25.26","24.110","18.630","23.416","24.011","24.39","19.429","23.219"
"154","Jarius Wright MIN","23.515","18.630","23.416","23.219","25.26","27.71","24.110","24.011","BYE","23.218","25.17","23.219","23.317","24.39","18.431","27.71","25.26"
"155","Justin Hunter PIT","24.011","19.429","25.26","24.110","19.827","23.612","18.431","23.219","BYE","22.322","26.23","27.71","18.431","24.110","20.226","19.528","24.011"
"156","Bennie Fowler DEN","20.824","22.721","21.623","23.514","BYE","20.625","20.824","23.612","26.92","20.226","18.431","23.514","24.68","22.920","22.322","23.218","23.612"
"157","Jehu Chesson KC","20.226","26.92","20.824","23.218","19.528","18.630","23.514","13.532","22.721","BYE","20.625","21.623","22.920","23.514","20.824","24.68","13.532"
"158","Roger Lewis NYG","22.721","23.219","26.92","23.416","20.824","13.532","23.613","BYE","25.17","25.65","23.612","23.218","23.514","22.721","26.92","25.74","23.218"
"159","Cody Latimer DEN","20.824","22.721","21.623","23.514","BYE","20.625","20.824","23.612","26.92","20.226","18.431","23.514","24.68","22.920","22.322","23.218","23.612"
"160","Andre Roberts ATL","25.26","27.71","23.219","21.623","BYE","24.68","20.226","22.920","24.39","22.721","23.613","23.416","19.429","23.515","23.416","23.515","24.39"
"161","Aaron Burbridge SF","24.39","23.613","25.17","25.74","22.322","23.218","22.721","26.92","25.74","20.625","BYE","23.613","25.26","19.528","26.23","19.827","25.17"
"162","Mike Thomas LAR","22.322","23.218","25.65","22.721","23.613","19.827","25.74","BYE","20.625","19.528","19.429","23.515","25.74","26.92","23.613","26.23","25.65"
"163","Rashad Greene JAC","19.528","26.23","24.110","22.920","18.630","25.17","22.322","BYE","18.431","20.824","24.011","25.74","22.322","23.613","19.528","25.65","26.23"
"164","Nelson Spruce LAR","22.322","23.218","25.65","22.721","23.613","19.827","25.74","BYE","20.625","19.528","19.429","23.515","25.74","26.92","23.613","26.23","25.65"
"165","Robert Davis WAS","26.92","25.17","23.514","23.612","BYE","25.65","26.92","22.721","23.613","19.429","23.515","20.625","22.721","20.824","25.74","13.532","20.625"
"166","Trevor Davis GB","23.613","23.317","18.431","25.26","22.721","19.429","23.515","BYE","23.219","25.26","24.110","18.630","23.416","24.011","24.39","19.429","23.219"
"167","Chris Matthews BAL","18.431","24.011","19.827","18.630","23.514","25.26","19.429","24.68","26.23","BYE","27.71","19.528","23.219","18.630","24.011","22.322","18.431"
